date,year,hour,lat,lon,precinct,borough,offense_desc,law_category,premise_type
2023-11-01,2023.0,8.0,40.664209,-73.887752,75,BROOKLYN,HARRASSMENT 2,VIOLATION,RESIDENCE - APT. HOUSE
2018-12-14,2018.0,23.0,40.68946429526,-73.92402908995,81,BROOKLYN,SEX CRIMES,MISDEMEANOR,RESIDENCE - APT. HOUSE
2022-11-14,2022.0,0.0,40.837377,-73.906692,42,BRONX,GRAND LARCENY,FELONY,RESIDENCE - PUBLIC HOUSING
2023-11-28,2023.0,20.0,40.680528,-73.969538,78,BROOKLYN,GRAND LARCENY,FELONY,RESIDENCE - APT. HOUSE
2023-03-09,2023.0,0.0,40.80093037274,-73.94109824101,25,MANHATTAN,SEX CRIMES,MISDEMEANOR,RESIDENCE - APT. HOUSE
2022-01-11,2022.0,1.0,40.751276,-73.982501,14,MANHATTAN,FELONY ASSAULT,FELONY,RESIDENCE - APT. HOUSE
2023-02-05,2023.0,23.0,40.747157,-73.83006,109,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,RESIDENCE - APT. HOUSE
2022-07-01,2022.0,12.0,40.749927,-73.770735,111,QUEENS,FRAUDS,MISDEMEANOR,RESIDENCE-HOUSE
2023-03-01,2023.0,0.0,40.81480347863,-73.95628448405,26,MANHATTAN,SEX CRIMES,MISDEMEANOR,OTHER
2023-10-09,2023.0,10.0,40.597637,-73.786588,101,QUEENS,FELONY ASSAULT,FELONY,RESIDENCE - PUBLIC HOUSING
2023-12-19,2023.0,13.0,40.837262,-73.924438,44,BRONX,GRAND LARCENY OF MOTOR VEHICLE,FELONY,STREET
2023-03-01,2023.0,12.0,40.708898,-73.777744,103,QUEENS,BURGLARY,FELONY,COMMERCIAL BUILDING
2022-09-03,2022.0,0.0,40.73389675845,-74.00539583734,6,MANHATTAN,SEX CRIMES,MISDEMEANOR,RESIDENCE - APT. HOUSE
2022-12-23,2022.0,6.0,40.640113,-73.899594,69,BROOKLYN,GRAND LARCENY,FELONY,STREET
2018-07-07,2018.0,9.0,40.651116,-73.952517,67,BROOKLYN,GRAND LARCENY,FELONY,RESIDENCE - APT. HOUSE
2023-01-05,2023.0,7.0,40.836236,-73.887321,42,BRONX,GRAND LARCENY,FELONY,RESIDENCE - APT. HOUSE
2022-06-15,2022.0,13.0,40.658511,-73.771711,116,QUEENS,FORGERY,FELONY,PUBLIC BUILDING
2023-04-25,2023.0,19.0,40.67998073847,-73.7762339072,113,QUEENS,RAPE,FELONY,RESIDENCE-HOUSE
