id,name,lat,lng,radius_km,polygon
4dc59ef5-e0ec-4bae-9fb3-1f3ef5145658,Crime Cluster 136,40.75251,-73.99323,0.163,"[[40.751519, -73.993937], [40.751518, -73.993938], [40.751518, -73.993938], [40.751517, -73.993939], [40.751516, -73.99394], [40.751516, -73.993941], [40.751516, -73.993942], [40.751515, -73.993943], [40.751515, -73.993944], [40.751515, -73.993945], [40.751515, -73.993946], [40.751514, -73.993947], [40.751515, -73.993949], [40.751515, -73.99395], [40.751515, -73.993951], [40.751515, -73.993952], [40.751516, -73.993953], [40.751516, -73.993954], [40.751517, -73.993955], [40.751517, -73.993956], [40.751518, -73.993957], [40.751519, -73.993957], [40.751519, -73.993958], [40.75152, -73.993958], [40.751521, -73.993959], [40.751522, -73.993959], [40.751523, -73.993959], [40.751524, -73.993959], [40.751524, -73.993959], [40.751525, -73.993959], [40.751526, -73.993959], [40.751527, -73.993958], [40.751528, -73.993958], [40.752195, -73.993474], [40.752195, -73.993474], [40.753787, -73.992314], [40.753788, -73.992314], [40.753789, -73.992313], [40.753789, -73.992312], [40.75379, -73.992311], [40.753791, -73.99231], [40.753791, -73.992309], [40.753791, -73.992308], [40.753792, -73.992307], [40.753792, -73.992306], [40.753792, -73.992305], [40.753792, -73.992304], [40.753792, -73.992303], [40.753792, -73.992302], [40.753792, -73.9923], [40.753791, -73.992299], [40.753791, -73.992298], [40.75379, -73.992297], [40.75379, -73.992296], [40.753789, -73.992296], [40.753789, -73.992295], [40.753788, -73.992294], [40.753787, -73.992293], [40.753786, -73.992293], [40.753785, -73.992293], [40.753785, -73.992292], [40.753784, -73.992292], [40.753783, -73.992292], [40.753782, -73.992292], [40.753781, -73.992292], [40.75378, -73.992293], [40.753779, -73.992293], [40.753779, -73.992294], [40.75316, -73.992744]]"
adf8ed2b-0dae-41c3-b0ab-e0b3ec507f18,Crime Cluster 135,40.750866,-73.990716,0.298,"[[40.75321, -73.989025], [40.753211, -73.989025], [40.753212, -73.989024], [40.753212, -73.989023], [40.753213, -73.989022], [40.753214, -73.989021], [40.753214, -73.98902], [40.753214, -73.989019], [40.753215, -73.989018], [40.753215, -73.989017], [40.753215, -73.989016], [40.753215, -73.989015], [40.753215, -73.989014], [40.753215, -73.989013], [40.753215, -73.989011], [40.753214, -73.98901], [40.753214, -73.989009], [40.753213, -73.989008], [40.753213, -73.989007], [40.753212, -73.989007], [40.753212, -73.989006], [40.753211, -73.989005], [40.75321, -73.989004], [40.753209, -73.989004], [40.753209, -73.989004], [40.753208, -73.989003], [40.753207, -73.989003], [40.753206, -73.989003], [40.753205, -73.989003], [40.753204, -73.989003], [40.753203, -73.989004], [40.753202, -73.989004], [40.753202, -73.989005], [40.751653, -73.990122], [40.751653, -73.990122], [40.750314, -73.9911], [40.750314, -73.9911], [40.748782, -73.992224], [40.748781, -73.992224], [40.74878, -73.992225], [40.74878, -73.992226], [40.748779, -73.992227], [40.748778, -73.992228], [40.748778, -73.992229], [40.748778, -73.99223], [40.748777, -73.992231], [40.748777, -73.992232], [40.748777, -73.992233], [40.748777, -73.992234], [40.748777, -73.992235], [40.748777, -73.992236], [40.748777, -73.992238], [40.748778, -73.992239], [40.748778, -73.99224], [40.748779, -73.992241], [40.748779, -73.992242], [40.74878, -73.992242], [40.74878, -73.992243], [40.748781, -73.992244], [40.748782, -73.992245], [40.748783, -73.992245], [40.748783, -73.992245], [40.748784, -73.992246], [40.748785, -73.992246], [40.748786, -73.992246], [40.748787, -73.992246], [40.748788, -73.992246], [40.748789, -73.992245], [40.74879, -73.992245], [40.74879, -73.992244], [40.749107, -73.992016], [40.749107, -73.992016], [40.752285, -73.989702], [40.752592, -73.989478], [40.752592, -73.989478]]"
511689eb-2eff-437c-a908-7dce37472d80,Crime Cluster 137,40.757575,-73.989485,0.328,"[[40.758177, -73.987991], [40.758176, -73.987991], [40.758175, -73.987992], [40.758174, -73.987992], [40.758174, -73.987993], [40.758173, -73.987993], [40.758172, -73.987994], [40.755012, -73.991396], [40.755012, -73.991397], [40.755011, -73.991397], [40.755011, -73.991398], [40.75501, -73.991399], [40.75501, -73.9914], [40.755009, -73.991402], [40.755009, -73.991403], [40.755009, -73.991404], [40.755009, -73.991405], [40.755009, -73.991406], [40.755009, -73.991407], [40.755009, -73.991408], [40.75501, -73.99141], [40.75501, -73.991411], [40.755011, -73.991412], [40.755011, -73.991413], [40.755012, -73.991413], [40.755012, -73.991414], [40.755013, -73.991415], [40.755014, -73.991415], [40.755015, -73.991416], [40.755015, -73.991416], [40.755016, -73.991417], [40.755017, -73.991417], [40.755018, -73.991417], [40.755019, -73.991417], [40.75502, -73.991417], [40.755021, -73.991416], [40.755022, -73.991416], [40.755022, -73.991415], [40.755335, -73.991189], [40.759169, -73.988402], [40.759169, -73.988402], [40.760102, -73.987711], [40.760103, -73.987711], [40.760104, -73.98771], [40.760104, -73.987709], [40.760105, -73.987708], [40.760106, -73.987707], [40.760106, -73.987706], [40.760106, -73.987705], [40.760107, -73.987704], [40.760107, -73.987703], [40.760107, -73.987702], [40.760107, -73.987701], [40.760107, -73.9877], [40.760107, -73.987698], [40.760107, -73.987697], [40.760106, -73.987696], [40.760106, -73.987695], [40.760105, -73.987694], [40.760105, -73.987693], [40.760104, -73.987692], [40.760104, -73.987692], [40.760103, -73.987691], [40.760102, -73.98769], [40.760101, -73.98769], [40.7601, -73.98769], [40.7601, -73.987689], [40.760099, -73.987689], [40.760098, -73.987689], [40.760097, -73.987689]]"
2dc515b5-56c9-464b-a084-78067aba64bc,Crime Cluster 139,40.764723,-73.985226,0.1,"[[40.764484, -73.984497], [40.764483, -73.984497], [40.764482, -73.984496], [40.764481, -73.984496], [40.76448, -73.984496], [40.76448, -73.984496], [40.764479, -73.984496], [40.764478, -73.984496], [40.764477, -73.984497], [40.764476, -73.984497], [40.764476, -73.984498], [40.763852, -73.984953], [40.763851, -73.984953], [40.76385, -73.984954], [40.76385, -73.984955], [40.763849, -73.984956], [40.763848, -73.984957], [40.763848, -73.984958], [40.763848, -73.984959], [40.763847, -73.98496], [40.763847, -73.984961], [40.763847, -73.984962], [40.763847, -73.984963], [40.763847, -73.984964], [40.763847, -73.984965], [40.763847, -73.984967], [40.763848, -73.984968], [40.763848, -73.984969], [40.763849, -73.98497], [40.763849, -73.984971], [40.76385, -73.984971], [40.764761, -73.986163], [40.764761, -73.986164], [40.764762, -73.986165], [40.764763, -73.986165], [40.764764, -73.986166], [40.764764, -73.986166], [40.764765, -73.986167], [40.764766, -73.986167], [40.764767, -73.986167], [40.764768, -73.986167], [40.764769, -73.986167], [40.76477, -73.986166], [40.764771, -73.986166], [40.764771, -73.986165], [40.765394, -73.985712], [40.765395, -73.985712], [40.765396, -73.985711], [40.765396, -73.98571], [40.765397, -73.985709], [40.765398, -73.985708], [40.765398, -73.985707], [40.765398, -73.985706], [40.765399, -73.985705], [40.765399, -73.985704], [40.765399, -73.985703], [40.765399, -73.985702], [40.765399, -73.985701], [40.765399, -73.985699], [40.765399, -73.985698], [40.765398, -73.985697], [40.765398, -73.985696], [40.765032, -73.98483], [40.765031, -73.984829], [40.765031, -73.984828], [40.76503, -73.984827], [40.765029, -73.984826], [40.765029, -73.984826], [40.765028, -73.984825]]"
9da8b5fc-2b70-4530-919a-b23fb6d3c476,Crime Cluster 41,40.756303,-73.879135,0.55,"[[40.755598, -73.884901], [40.755598, -73.884903], [40.755598, -73.884904], [40.755598, -73.884905], [40.755598, -73.884906], [40.755599, -73.884907], [40.755599, -73.884908], [40.755599, -73.884909], [40.7556, -73.88491], [40.7556, -73.884911], [40.755601, -73.884912], [40.755602, -73.884913], [40.755602, -73.884913], [40.755603, -73.884914], [40.755604, -73.884914], [40.755605, -73.884915], [40.755606, -73.884915], [40.755607, -73.884915], [40.755607, -73.884915], [40.755608, -73.884915], [40.755609, -73.884915], [40.75561, -73.884914], [40.755611, -73.884914], [40.755612, -73.884913], [40.755612, -73.884913], [40.755613, -73.884912], [40.755614, -73.884911], [40.755614, -73.88491], [40.755615, -73.884909], [40.755615, -73.884908], [40.755615, -73.884907], [40.755616, -73.884906], [40.757695, -73.874129], [40.757695, -73.874128], [40.757695, -73.874127], [40.757695, -73.874126], [40.757695, -73.874124], [40.757695, -73.874123], [40.757694, -73.874122], [40.757694, -73.874121], [40.757694, -73.87412], [40.757693, -73.874119], [40.756904, -73.872658], [40.756904, -73.872657], [40.756903, -73.872656], [40.756902, -73.872656], [40.756902, -73.872655], [40.756901, -73.872654], [40.7569, -73.872654], [40.756899, -73.872654], [40.756898, -73.872653], [40.756898, -73.872653], [40.756897, -73.872653], [40.756896, -73.872653], [40.756895, -73.872653], [40.756894, -73.872654], [40.756893, -73.872654], [40.756892, -73.872655], [40.756892, -73.872655], [40.756891, -73.872656], [40.75689, -73.872657], [40.75689, -73.872658], [40.756889, -73.872659], [40.756889, -73.87266], [40.756889, -73.872661], [40.756888, -73.872662], [40.756888, -73.872663], [40.756721, -73.874206], [40.756721, -73.874206], [40.756281, -73.878393]]"
a25dbf73-0422-4f5a-a3ce-0884d43b3b63,Crime Cluster 95,40.810853,-73.952002,0.139,"[[40.811064, -73.953311], [40.811064, -73.953312], [40.811065, -73.953312], [40.811066, -73.953313], [40.811067, -73.953313], [40.811068, -73.953313], [40.811069, -73.953313], [40.811069, -73.953313], [40.81107, -73.953312], [40.811071, -73.953312], [40.811072, -73.953312], [40.811073, -73.953311], [40.811073, -73.95331], [40.811074, -73.95331], [40.811075, -73.953309], [40.811075, -73.953308], [40.811076, -73.953307], [40.811076, -73.953306], [40.811076, -73.953305], [40.811751, -73.950865], [40.811752, -73.950864], [40.811752, -73.950863], [40.811752, -73.950862], [40.811752, -73.950861], [40.811752, -73.95086], [40.811752, -73.950858], [40.811752, -73.950857], [40.811751, -73.950856], [40.811751, -73.950855], [40.81175, -73.950854], [40.81175, -73.950853], [40.811749, -73.950853], [40.811749, -73.950852], [40.811748, -73.950851], [40.811747, -73.950851], [40.811164, -73.950438], [40.811163, -73.950437], [40.811163, -73.950437], [40.811162, -73.950436], [40.811161, -73.950436], [40.81116, -73.950436], [40.811159, -73.950436], [40.811158, -73.950436], [40.811157, -73.950437], [40.811156, -73.950437], [40.811156, -73.950438], [40.810169, -73.951157], [40.810169, -73.951157], [40.810168, -73.951158], [40.810167, -73.951159], [40.810167, -73.95116], [40.810166, -73.951161], [40.810166, -73.951162], [40.810165, -73.951163], [40.810165, -73.951164], [40.810165, -73.951165], [40.810165, -73.951166], [40.810165, -73.951167], [40.810165, -73.951168], [40.810165, -73.95117], [40.810421, -73.952837], [40.810421, -73.952838], [40.810422, -73.95284], [40.810422, -73.952841], [40.810423, -73.952842], [40.810423, -73.952842], [40.810424, -73.952843], [40.810424, -73.952844], [40.810425, -73.952845], [40.810426, -73.952845]]"
d8b4e560-db08-475e-bf7a-8470b168e35c,Crime Cluster 133,40.749229,-73.987898,0.264,"[[40.751399, -73.98663], [40.7514, -73.986629], [40.7514, -73.986627], [40.7514, -73.986626], [40.7514, -73.986625], [40.7514, -73.986624], [40.7514, -73.986623], [40.7514, -73.986622], [40.751399, -73.986621], [40.751399, -73.98662], [40.751399, -73.986619], [40.751398, -73.986618], [40.751397, -73.986617], [40.751397, -73.986616], [40.751396, -73.986615], [40.751395, -73.986615], [40.751395, -73.986614], [40.751394, -73.986614], [40.751393, -73.986613], [40.751392, -73.986613], [40.751391, -73.986613], [40.748398, -73.98653], [40.748397, -73.98653], [40.748396, -73.98653], [40.748395, -73.986531], [40.747718, -73.986826], [40.747717, -73.986826], [40.747717, -73.986827], [40.747716, -73.986827], [40.747715, -73.986828], [40.747714, -73.986829], [40.747714, -73.98683], [40.747713, -73.986831], [40.747713, -73.986832], [40.747154, -73.988374], [40.747154, -73.988375], [40.747153, -73.988376], [40.747153, -73.988377], [40.747153, -73.988378], [40.747153, -73.988379], [40.747153, -73.98838], [40.747153, -73.988382], [40.747153, -73.988383], [40.747154, -73.988384], [40.747154, -73.988385], [40.747578, -73.989398], [40.747579, -73.989399], [40.747579, -73.9894], [40.74758, -73.989401], [40.74758, -73.989401], [40.747581, -73.989402], [40.747582, -73.989403], [40.747583, -73.989403], [40.747584, -73.989403], [40.747585, -73.989404], [40.747586, -73.989404], [40.747586, -73.989404], [40.747587, -73.989404], [40.747588, -73.989403], [40.747589, -73.989403], [40.751043, -73.987723], [40.751044, -73.987723], [40.751045, -73.987722], [40.751045, -73.987721], [40.751046, -73.987721], [40.751047, -73.98772], [40.751047, -73.987719], [40.751048, -73.987718], [40.751048, -73.987717]]"
862e21d9-60c2-4a7a-a62a-2d52d94e35ea,Crime Cluster 130,40.758465,-73.992676,0.325,"[[40.756523, -73.994009], [40.756522, -73.994009], [40.756521, -73.99401], [40.756521, -73.994011], [40.75652, -73.994012], [40.75652, -73.994013], [40.756519, -73.994014], [40.756519, -73.994015], [40.756518, -73.994016], [40.756518, -73.994017], [40.756518, -73.994018], [40.756518, -73.994019], [40.756518, -73.994021], [40.756518, -73.994022], [40.756519, -73.994023], [40.756519, -73.994024], [40.756519, -73.994025], [40.75652, -73.994026], [40.75652, -73.994027], [40.756521, -73.994028], [40.756522, -73.994029], [40.756523, -73.994029], [40.756523, -73.99403], [40.756524, -73.99403], [40.756525, -73.994031], [40.756526, -73.994031], [40.756527, -73.994031], [40.756528, -73.994031], [40.756529, -73.994031], [40.756529, -73.994031], [40.758706, -73.993296], [40.758707, -73.993296], [40.758708, -73.993296], [40.758708, -73.993295], [40.758709, -73.993295], [40.75871, -73.993294], [40.760998, -73.990768], [40.760999, -73.990767], [40.761, -73.990766], [40.761, -73.990766], [40.761001, -73.990765], [40.761001, -73.990763], [40.761001, -73.990762], [40.761001, -73.990761], [40.761002, -73.99076], [40.761002, -73.990759], [40.761002, -73.990758], [40.761001, -73.990757], [40.761001, -73.990755], [40.761001, -73.990754], [40.761001, -73.990753], [40.761, -73.990752], [40.761, -73.990751], [40.760999, -73.990751], [40.760998, -73.99075], [40.760998, -73.990749], [40.760997, -73.990748], [40.760996, -73.990748], [40.760995, -73.990748], [40.760994, -73.990747], [40.760993, -73.990747], [40.760993, -73.990747], [40.760992, -73.990747], [40.760991, -73.990747], [40.76099, -73.990748], [40.760989, -73.990748], [40.760988, -73.990749], [40.75714, -73.99355], [40.75714, -73.99355]]"
91e5c29e-3df2-4611-95b5-cc0203daf486,Crime Cluster 131,40.758597,-73.979354,0.325,"[[40.759279, -73.980891], [40.759279, -73.98089], [40.759279, -73.980889], [40.759279, -73.980888], [40.759485, -73.976518], [40.759485, -73.976517], [40.759485, -73.976515], [40.759485, -73.976514], [40.759485, -73.976513], [40.759484, -73.976512], [40.759484, -73.976511], [40.759483, -73.97651], [40.759483, -73.976509], [40.759482, -73.976508], [40.759482, -73.976508], [40.759481, -73.976507], [40.75948, -73.976506], [40.759479, -73.976506], [40.759478, -73.976506], [40.759478, -73.976505], [40.759477, -73.976505], [40.759476, -73.976505], [40.759475, -73.976505], [40.759474, -73.976505], [40.759473, -73.976506], [40.759472, -73.976506], [40.759472, -73.976507], [40.758847, -73.976962], [40.758221, -73.977418], [40.757594, -73.977875], [40.757593, -73.977875], [40.757592, -73.977876], [40.757592, -73.977877], [40.757591, -73.977878], [40.75759, -73.977879], [40.75759, -73.97788], [40.75759, -73.977881], [40.757589, -73.977882], [40.757589, -73.977883], [40.757589, -73.977884], [40.757589, -73.977885], [40.757589, -73.977887], [40.758013, -73.981795], [40.758013, -73.981796], [40.758013, -73.981797], [40.758014, -73.981798], [40.758014, -73.981799], [40.758602, -73.983213], [40.758603, -73.983214], [40.758603, -73.983215], [40.758604, -73.983216], [40.758604, -73.983216], [40.758605, -73.983217], [40.758606, -73.983218], [40.758607, -73.983218], [40.758608, -73.983218], [40.758608, -73.983219], [40.758609, -73.983219], [40.75861, -73.983219], [40.758611, -73.983219], [40.758612, -73.983219], [40.758613, -73.983218], [40.758614, -73.983218], [40.758614, -73.983217], [40.758615, -73.983217], [40.758616, -73.983216], [40.758617, -73.983215], [40.758617, -73.983214], [40.758618, -73.983213], [40.758618, -73.983212], [40.758618, -73.983211]]"
8cda7e6c-75a8-4c58-9e16-cf641b74e751,Crime Cluster 46,40.746951,-73.89125,0.161,"[[40.74811, -73.891678], [40.74811, -73.891677], [40.74811, -73.891676], [40.74811, -73.891675], [40.74811, -73.891673], [40.74811, -73.891672], [40.748109, -73.891671], [40.748109, -73.89167], [40.748108, -73.891669], [40.747045, -73.889565], [40.747045, -73.889564], [40.747044, -73.889563], [40.747044, -73.889563], [40.747043, -73.889562], [40.747042, -73.889561], [40.747041, -73.889561], [40.747041, -73.88956], [40.74704, -73.88956], [40.747039, -73.88956], [40.747038, -73.88956], [40.747037, -73.88956], [40.747036, -73.88956], [40.746006, -73.889836], [40.746005, -73.889837], [40.746005, -73.889837], [40.746004, -73.889838], [40.746003, -73.889838], [40.746002, -73.889839], [40.746002, -73.88984], [40.746001, -73.889841], [40.746, -73.889842], [40.746, -73.889843], [40.746, -73.889844], [40.745999, -73.889845], [40.745999, -73.889846], [40.745999, -73.889847], [40.745913, -73.89125], [40.745913, -73.891251], [40.745913, -73.891252], [40.745913, -73.891254], [40.745914, -73.891255], [40.745914, -73.891256], [40.745914, -73.891257], [40.745915, -73.891258], [40.745915, -73.891259], [40.745916, -73.89126], [40.745917, -73.891261], [40.747131, -73.892418], [40.747132, -73.892419], [40.747133, -73.892419], [40.747134, -73.89242], [40.747135, -73.89242], [40.747136, -73.89242], [40.747998, -73.892571], [40.747999, -73.892571], [40.748, -73.892571], [40.748, -73.892571], [40.748001, -73.89257], [40.748002, -73.89257], [40.748003, -73.89257], [40.748004, -73.892569], [40.748004, -73.892568], [40.748005, -73.892568], [40.748006, -73.892567], [40.748006, -73.892566], [40.748007, -73.892565], [40.748007, -73.892564], [40.748007, -73.892563], [40.748008, -73.892562], [40.748008, -73.892561]]"
