date,year,hour,lat,lon,precinct,borough,offense_desc,law_category,premise_type
2022-12-23,2022,6.0,40.640113,-73.899594,69,BROOKLYN,GRAND LARCENY,FELONY,STREET
2023-12-30,2023,22.0,40.65271496,-73.8905965,75,BROOKLYN,ROBBERY,FELONY,STREET
2023-12-15,2023,10.0,40.737693,-73.854828,110,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2022-11-26,2022,11.0,40.7595,-73.774956,111,QUEENS,FELONY ASSAULT,FELONY,DRUG STORE
2022-01-01,2022,9.0,40.708731,-73.810061,107,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-11-09,2023,1.0,40.718616,-73.993595,5,MANHATTAN,HARRASSMENT 2,VIOLATION,STREET
2023-11-01,2023,0.0,40.73720309857,-73.98327259815,13,MANHATTAN,SEX CRIMES,MISDEMEANOR,HOTEL/MOTEL
2022-10-29,2022,13.0,40.691013,-73.983457,84,BROOKLYN,GRAND LARCENY,FELONY,CLOTHING/BOUTIQUE
2022-09-01,2022,16.0,40.626282,-73.962548,70,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-01-01,2023,8.0,40.807602,-73.898868,41,BRONX,GRAND LARCENY,FELONY,CHAIN STORE
2023-08-22,2023,23.0,40.677101,-73.983262,78,BROOKLYN,HARRASSMENT 2,VIOLATION,GROCERY/BODEGA
2023-01-01,2023,23.0,40.86947047705,-73.87986080373,52,BRONX,SEX CRIMES,FELONY,STREET
2022-08-18,2022,17.0,40.794324,-73.972035,24,MANHATTAN,ROBBERY,FELONY,ATM
2022-11-10,2022,0.0,40.67998073847,-73.7762339072,113,QUEENS,RAPE,FELONY,AIRPORT TERMINAL
2022-03-20,2022,21.0,40.83072232777,-73.82712605886,45,BRONX,RAPE,FELONY,STREET
2022-08-02,2022,19.0,40.845719,-73.91711,46,BRONX,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2022-01-28,2022,21.0,40.76502407883,-73.98483594971,18,MANHATTAN,RAPE,FELONY,BAR/NIGHT CLUB
2022-07-21,2022,19.0,40.683992,-73.795054,113,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-09-21,2023,0.0,40.711274,-73.98435,7,MANHATTAN,GRAND LARCENY,FELONY,STREET
2023-11-20,2023,15.0,40.729854,-73.724401,105,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-01-19,2023,0.0,40.60277623008,-73.75011736483,101,QUEENS,RAPE,FELONY,STREET
2023-12-08,2023,12.0,40.658545,-73.850353,106,QUEENS,GRAND LARCENY,FELONY,STORE UNCLASSIFIED
2023-06-22,2023,18.0,40.68128,-73.903691,83,BROOKLYN,GRAND LARCENY,FELONY,STREET
2023-07-02,2023,17.0,40.771078,-73.956712,19,MANHATTAN,ROBBERY,FELONY,FOOD SUPERMARKET
2023-06-16,2023,14.0,40.749083,-73.86218,110,QUEENS,GRAND LARCENY,FELONY,PARK/PLAYGROUND
2022-12-22,2022,20.0,40.75353270126,-73.99453689202,14,MANHATTAN,SEX CRIMES,FELONY,STREET
2023-10-18,2023,8.0,40.785216,-73.971254,20,MANHATTAN,HARRASSMENT 2,VIOLATION,STREET
2023-02-18,2023,17.0,40.778356,-73.952864,19,MANHATTAN,GRAND LARCENY,FELONY,TELECOMM. STORE
2023-10-17,2023,11.0,40.747729,-73.986838,14,MANHATTAN,GRAND LARCENY,FELONY,FAST FOOD
2023-11-27,2023,8.0,40.593831,-74.162204,121,STATEN ISLAND,FELONY ASSAULT,FELONY,CHAIN STORE
2023-05-01,2023,17.0,40.6281697437,-73.94135878348,63,BROOKLYN,SEX CRIMES,MISDEMEANOR,HOTEL/MOTEL
2023-11-27,2023,23.0,40.842334,-73.92603,44,BRONX,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-11-01,2023,0.0,40.83417,-73.91805,44,BRONX,GRAND LARCENY,FELONY,SMALL MERCHANT
2023-12-02,2023,21.0,40.700817,-73.82645,102,QUEENS,MURDER & NON-NEGL. MANSLAUGHTER,FELONY,STORE UNCLASSIFIED
2022-10-31,2022,8.0,40.682125,-73.875204,75,BROOKLYN,GRAND LARCENY,FELONY,STORE UNCLASSIFIED
2023-12-22,2023,0.0,40.712372,-74.000884,5,MANHATTAN,GRAND LARCENY,FELONY,PUBLIC BUILDING
2023-09-01,2023,8.0,40.599998,-73.936002,61,BROOKLYN,GRAND LARCENY,FELONY,SMALL MERCHANT
2022-03-04,2022,22.0,40.712224,-73.962748,90,BROOKLYN,FELONY ASSAULT,FELONY,BAR/NIGHT CLUB
2022-08-05,2022,0.0,40.72441,-73.999858,1,MANHATTAN,GRAND LARCENY,FELONY,CHAIN STORE
2023-07-20,2023,0.0,40.859047,-73.884668,48,BRONX,GRAND LARCENY,FELONY,FAST FOOD
2022-10-21,2022,16.0,40.595609,-74.084491,122,STATEN ISLAND,GRAND LARCENY,FELONY,STREET
2023-06-15,2023,14.0,40.636048,-73.989272,66,BROOKLYN,GRAND LARCENY,FELONY,STORE UNCLASSIFIED
2023-05-06,2023,14.0,40.6803817,-73.85966369,102,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-11-01,2023,8.0,40.75547,-73.981554,14,MANHATTAN,GRAND LARCENY,FELONY,RESTAURANT/DINER
2023-05-04,2023,22.0,40.85712847,-73.88079263,48,BRONX,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-08-07,2023,20.0,40.716012012,-73.9973320301,5,MANHATTAN,SEX CRIMES,MISDEMEANOR,HOTEL/MOTEL
2022-02-22,2022,19.0,40.713014,-73.786412,107,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-05-19,2023,22.0,40.852564,-73.932977,34,MANHATTAN,HARRASSMENT 2,VIOLATION,STREET
2023-09-25,2023,12.0,40.809581,-73.949747,28,MANHATTAN,GRAND LARCENY,FELONY,HOTEL/MOTEL
2023-04-16,2023,17.0,40.666126,-73.851755,106,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,GROCERY/BODEGA
2022-10-12,2022,17.0,40.781007,-73.775491,109,QUEENS,GRAND LARCENY,FELONY,RESTAURANT/DINER
2023-12-27,2023,7.0,40.85359836738,-73.90057688073,46,BRONX,GRAND LARCENY,FELONY,STREET
2022-11-29,2022,10.0,40.76229044,-73.98610578,18,MANHATTAN,HARRASSMENT 2,VIOLATION,STREET
2023-10-10,2023,12.0,40.719429,-74.005182,1,MANHATTAN,GRAND LARCENY,FELONY,HOTEL/MOTEL
2023-09-23,2023,0.0,40.63059985044,-73.97370531603,70,BROOKLYN,SEX CRIMES,MISDEMEANOR,STREET
2023-06-20,2023,19.0,40.67060219,-73.84278826,106,QUEENS,ROBBERY,FELONY,STREET
2022-01-31,2022,0.0,40.779056,-73.977602,20,MANHATTAN,GRAND LARCENY,FELONY,RESTAURANT/DINER
2023-03-22,2023,23.0,40.734713,-74.002183,6,MANHATTAN,GRAND LARCENY,FELONY,BAR/NIGHT CLUB
2023-03-16,2023,17.0,40.773827,-73.826367,109,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2022-09-15,2022,2.0,40.714619,-73.943548,94,BROOKLYN,FELONY ASSAULT,FELONY,BAR/NIGHT CLUB
2023-12-21,2023,16.0,40.85359836738,-73.90057688073,46,BRONX,RAPE,FELONY,HOTEL/MOTEL
2022-09-19,2022,17.0,40.714619,-73.943548,94,BROOKLYN,FELONY ASSAULT,FELONY,BAR/NIGHT CLUB
2022-06-21,2022,22.0,40.73389675845,-74.00539583734,6,MANHATTAN,RAPE,FELONY,BAR/NIGHT CLUB
2022-03-17,2022,16.0,40.757033,-73.986238,14,MANHATTAN,GRAND LARCENY,FELONY,CHAIN STORE
2023-05-20,2023,9.0,40.775718,-73.81387,109,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-08-01,2023,11.0,40.72044188847,-74.00674397419,1,MANHATTAN,SEX CRIMES,MISDEMEANOR,PARK/PLAYGROUND
2023-11-01,2023,0.0,40.88286213132,-73.9035744897,50,BRONX,SEX CRIMES,MISDEMEANOR,RESTAURANT/DINER
2023-03-08,2023,23.0,40.750664,-73.990868,14,MANHATTAN,GRAND LARCENY,FELONY,STREET
2023-11-01,2023,10.0,40.762635,-73.971065,18,MANHATTAN,HARRASSMENT 2,VIOLATION,RESTAURANT/DINER
2022-02-17,2022,7.0,40.678112,-73.968702,77,BROOKLYN,GRAND LARCENY,FELONY,GROCERY/BODEGA
2023-04-23,2023,19.0,40.81035186346,-73.92494232564,40,BRONX,SEX CRIMES,MISDEMEANOR,CLOTHING/BOUTIQUE
2023-03-06,2023,0.0,40.762269,-73.987986,18,MANHATTAN,GRAND LARCENY,FELONY,RESTAURANT/DINER
2023-05-12,2023,21.0,40.75353270126,-73.99453689202,14,MANHATTAN,RAPE,FELONY,STREET
2022-09-15,2022,12.0,40.836523,-73.890219,42,BRONX,HARRASSMENT 2,VIOLATION,STREET
2023-12-28,2023,0.0,40.783511,-73.980232,20,MANHATTAN,GRAND LARCENY,FELONY,ATM
2023-03-25,2023,22.0,40.76502407883,-73.98483594971,18,MANHATTAN,SEX CRIMES,MISDEMEANOR,BAR/NIGHT CLUB
2023-11-29,2023,1.0,40.88731363447,-73.84727175776,47,BRONX,SEX CRIMES,FELONY,STREET
2022-12-01,2022,9.0,40.616497,-74.084353,120,STATEN ISLAND,GRAND LARCENY,FELONY,SMALL MERCHANT
2023-07-01,2023,11.0,40.69782862832,-73.83564120622,102,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2022-01-24,2022,11.0,40.741739,-73.960361,108,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2022-02-11,2022,2.0,40.664121,-73.86577,75,BROOKLYN,GRAND LARCENY,FELONY,STREET
2022-10-02,2022,19.0,40.761103,-73.977445,18,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,HOTEL/MOTEL
2022-09-07,2022,6.0,40.69379069827,-73.79289334449,103,QUEENS,DANGEROUS WEAPONS,FELONY,STREET
2023-10-28,2023,18.0,40.76949511844,-73.91502417039,114,QUEENS,RAPE,FELONY,HOTEL/MOTEL
2023-01-02,2023,20.0,40.68946429526,-73.92402908995,81,BROOKLYN,SEX CRIMES,FELONY,STORE UNCLASSIFIED
2023-11-12,2023,14.0,40.67297219,-73.96744693,78,BROOKLYN,FELONY ASSAULT,FELONY,STREET
2022-02-08,2022,15.0,40.760207,-73.803538,109,QUEENS,GRAND LARCENY,FELONY,STORE UNCLASSIFIED
2022-12-05,2022,9.0,40.814938,-73.918159,40,BRONX,GRAND LARCENY,FELONY,STORE UNCLASSIFIED
2022-11-29,2022,0.0,40.869075,-73.880601,52,BRONX,GRAND LARCENY,FELONY,PUBLIC BUILDING
