latitude,longitude
40.68700278618006,-73.9558379650116
40.75049,-73.87881
40.82196,-73.9566
40.6411511646172,-73.93908690502735
40.69014,-73.92943
40.85246,-73.91615
40.81817,-73.94474
40.65328,-73.93951
40.68099,-73.91239
40.67117,-73.87937
40.76523,-73.92812
40.80581,-73.94234
40.77395,-73.95153
40.79706,-73.94769
40.62914,-74.15927
40.77727,-73.91761
40.62384,-73.92868
40.74537,-73.83252
40.80613,-73.95033
40.71164,-73.96108
40.69149,-73.93662
40.74045,-73.99579
40.79543,-73.97359
40.69908,-73.95317
40.79016,-73.95092
40.71973,-73.99147
40.58726,-73.81588
40.75375,-73.99312
40.76148,-73.96077
40.75742,-73.99316
40.80138,-73.94142
40.8357,-73.90998
40.68466,-73.96635
40.67239,-73.78049
40.75436,-73.99391
40.80421,-73.92249
40.76246,-73.96359
40.60737,-73.76558
40.67423,-73.7496
40.68663,-73.93792
40.66486,-73.93151
40.75468,-73.9984
40.67379,-73.87445
40.80615,-73.94347
40.67942,-73.94141
40.8127,-73.90988
40.69075,-73.7573
40.80912,-73.93095
40.74657,-73.98715
40.6829,-73.92281
40.8215,-73.95655
40.70596,-73.91755
40.75728,-73.99496
40.64311,-73.94743
40.82504,-73.92749
40.68672,-73.91652
40.66241,-73.77154
40.86162,-73.86418
40.70599,-73.90881
40.68548,-73.95144
40.80467,-73.95018
40.737,-73.90426
40.63957,-73.95129
40.70351,-73.9255
40.88131,-73.90092
40.72249,-73.80087
40.74807,-73.99646
40.87911,-73.86093
40.63597,-74.00936
40.65199,-73.95816
40.68433,-73.95391
40.68559,-73.90993
40.673218,-73.897003
40.67583,-73.92661
40.74813,-73.98685
40.84212,-73.86856
40.80023,-73.93627
40.710941,-73.96553
40.80837,-73.9319
40.64531,-73.93415
40.81001,-73.9301
40.86753,-73.92257
40.66113,-73.96229
40.65534,-73.95557
40.6653,-73.91737
40.75724,-73.99582
40.68644,-73.9213
40.66464,-73.91868
40.82174,-73.95343
40.67886,-73.94063
40.81965,-73.92911
40.66928,-73.88406
40.81088,-73.90733
40.71585,-73.99039
40.79563,-73.96354
40.68902,-73.81421
40.78463,-73.97726
40.81176,-73.95303
40.72301,-73.97501
40.64096,-74.08665
40.88552,-73.8526
40.64719,-73.95315
40.679993,-73.952271
40.8094,-73.93974
40.70784,-73.80341
40.759125,-73.983765
40.65633,-73.95311
40.65006,-73.92698
40.67392,-73.87284
40.65079,-73.93171
40.68443,-73.76885
40.75948,-73.99315
40.68908,-73.98111
40.81745,-73.9433
40.79337,-73.93392
40.80478,-73.94366
40.74623,-73.98499
40.74491,-73.89209
40.71424,-73.98639
40.80497,-73.94733
40.68316,-73.91842
40.70673,-73.90763
40.71442,-73.98926
40.75013,-73.86851
40.66143,-73.9132
40.66949,-73.92675
40.71351,-73.8332
40.6821,-73.91245
40.70151,-73.92107
40.66829,-73.76312
40.80756,-73.92264
40.82256,-73.95141
40.68669,-73.94198
40.73153,-73.98398
40.75804,-73.89447
40.71301,-73.99454
40.79961,-73.95516
40.74674,-73.88593
40.86347,-73.92624
40.79502,-73.93323
40.79179,-73.94828
40.64802,-73.95608
40.79886,-73.94103
40.81009,-73.93122
40.68139,-73.91451
40.80067,-73.95249
40.8084,-73.94004
40.63769,-73.94402
40.65258,-73.91257
40.69121,-73.94063
40.65884,-73.95951
40.889088,-73.858711
40.72305,-73.97676
40.67251,-73.91549
40.79917,-73.95421
40.66854,-73.76522
40.67113,-73.87114
40.64901,-73.94107
40.8161,-73.94439
40.69833,-73.92994
40.64921,-73.94229
40.81457,-73.94466
40.67777,-73.90884
40.65982,-73.95116
40.79962,-73.93351
40.69961,-73.94072
40.70282,-73.93716
40.89154,-73.84316
40.81951,-73.9546
40.80791,-73.94046
40.67985,-73.93668
40.6968,-73.90816
40.70832,-73.95588
40.70054,-73.82785
40.68397,-73.93911
40.69073,-73.94072
40.79783,-73.94027
40.70178,-73.90558
40.66062,-73.8991
40.80633,-73.94585
40.8221,-73.94467
40.80991,-73.91957
40.84706,-73.90526
40.80208,-73.93607
40.73843,-73.92769
40.65055,-74.00174
40.67824,-73.95098
40.80206,-73.95442
40.83678,-73.8452
40.73952,-73.99671
40.72224,-73.97932
40.80115,-73.91567
40.66098,-73.88861
40.71639,-73.99086
40.71474,-73.99096
40.80097,-73.91421
40.80242,-73.91383
40.65418,-73.95344
