id,name,lat,lng,radius_km,polygon
21ba5423-79f1-47f8-b5d6-b2f38bfa85f3,Review Warning Zone 1,40.572864,-74.091115,0.05,"[[40.572449, -74.091342], [40.572491, -74.091444], [40.572546, -74.091534], [40.572614, -74.091608], [40.572692, -74.091663], [40.572776, -74.091696], [40.572864, -74.091708], [40.572952, -74.091696], [40.573036, -74.091663], [40.573114, -74.091608], [40.573182, -74.091534], [40.573237, -74.091444], [40.573279, -74.091342], [40.573305, -74.091231], [40.573313, -74.091115], [40.573305, -74.090999], [40.573279, -74.090888], [40.573237, -74.090786], [40.573182, -74.090696], [40.573114, -74.090622], [40.573036, -74.090567], [40.572952, -74.090534], [40.572864, -74.090522], [40.572776, -74.090534], [40.572692, -74.090567], [40.572614, -74.090622], [40.572546, -74.090696], [40.572491, -74.090786], [40.572449, -74.090888], [40.572423, -74.090999], [40.572415, -74.091115], [40.572423, -74.091231]]"
f8b7a0c7-4f05-48c9-baa6-b0f6331ddefa,Review Warning Zone 2,40.61169,-74.08928,0.05,"[[40.611275, -74.089507], [40.611317, -74.089609], [40.611372, -74.089699], [40.61144, -74.089773], [40.611518, -74.089828], [40.611602, -74.089861], [40.61169, -74.089873], [40.611778, -74.089861], [40.611862, -74.089828], [40.61194, -74.089773], [40.612008, -74.089699], [40.612063, -74.089609], [40.612105, -74.089507], [40.612131, -74.089396], [40.612139, -74.08928], [40.612131, -74.089164], [40.612105, -74.089053], [40.612063, -74.088951], [40.612008, -74.088861], [40.61194, -74.088787], [40.611862, -74.088732], [40.611778, -74.088699], [40.61169, -74.088687], [40.611602, -74.088699], [40.611518, -74.088732], [40.61144, -74.088787], [40.611372, -74.088861], [40.611317, -74.088951], [40.611275, -74.089053], [40.611249, -74.089164], [40.611241, -74.08928], [40.611249, -74.089396]]"
0eeac82b-2ad8-4467-a841-4690495b9c2c,Review Warning Zone 3,40.61266,-74.0011,0.05,"[[40.612245, -74.001327], [40.612287, -74.001429], [40.612342, -74.001519], [40.61241, -74.001593], [40.612488, -74.001648], [40.612572, -74.001681], [40.61266, -74.001693], [40.612748, -74.001681], [40.612832, -74.001648], [40.61291, -74.001593], [40.612978, -74.001519], [40.613033, -74.001429], [40.613075, -74.001327], [40.613101, -74.001216], [40.613109, -74.0011], [40.613101, -74.000984], [40.613075, -74.000873], [40.613033, -74.000771], [40.612978, -74.000681], [40.61291, -74.000607], [40.612832, -74.000552], [40.612748, -74.000519], [40.61266, -74.000507], [40.612572, -74.000519], [40.612488, -74.000552], [40.61241, -74.000607], [40.612342, -74.000681], [40.612287, -74.000771], [40.612245, -74.000873], [40.612219, -74.000984], [40.612211, -74.0011], [40.612219, -74.001216]]"
8e36e6a6-78b4-4766-a10a-b59a30743372,Review Warning Zone 4,40.61572,-74.0671,0.05,"[[40.615347, -74.067429], [40.615402, -74.067519], [40.61547, -74.067593], [40.615548, -74.067648], [40.615632, -74.067681], [40.61572, -74.067693], [40.615808, -74.067681], [40.615892, -74.067648], [40.61597, -74.067593], [40.616038, -74.067519], [40.616093, -74.067429], [40.616135, -74.067327], [40.616161, -74.067216], [40.616169, -74.0671], [40.616161, -74.066984], [40.616135, -74.066873], [40.616093, -74.066771], [40.616038, -74.066681], [40.61597, -74.066607], [40.615892, -74.066552], [40.615808, -74.066519], [40.61572, -74.066507], [40.615632, -74.066519], [40.615548, -74.066552], [40.61547, -74.066607], [40.615402, -74.066681], [40.615347, -74.066771], [40.615305, -74.066873], [40.615279, -74.066984], [40.615271, -74.0671], [40.615279, -74.067216], [40.615305, -74.067327]]"
16472c1e-1f35-44ef-b823-2f7562c77e85,Review Warning Zone 5,40.61989,-74.08581,0.05,"[[40.619517, -74.086139], [40.619572, -74.086229], [40.61964, -74.086303], [40.619718, -74.086358], [40.619802, -74.086391], [40.61989, -74.086403], [40.619978, -74.086391], [40.620062, -74.086358], [40.62014, -74.086303], [40.620208, -74.086229], [40.620263, -74.086139], [40.620305, -74.086037], [40.620331, -74.085926], [40.620339, -74.08581], [40.620331, -74.085694], [40.620305, -74.085583], [40.620263, -74.085481], [40.620208, -74.085391], [40.62014, -74.085317], [40.620062, -74.085262], [40.619978, -74.085229], [40.61989, -74.085217], [40.619802, -74.085229], [40.619718, -74.085262], [40.61964, -74.085317], [40.619572, -74.085391], [40.619517, -74.085481], [40.619475, -74.085583], [40.619449, -74.085694], [40.619441, -74.08581], [40.619449, -74.085926], [40.619475, -74.086037]]"
bf2ab7c1-d257-41b4-9332-260ade5430e7,Review Warning Zone 6,40.62534,-74.07705,0.05,"[[40.624925, -74.077277], [40.624967, -74.077379], [40.625022, -74.077469], [40.62509, -74.077543], [40.625168, -74.077598], [40.625252, -74.077631], [40.62534, -74.077643], [40.625428, -74.077631], [40.625512, -74.077598], [40.62559, -74.077543], [40.625658, -74.077469], [40.625713, -74.077379], [40.625755, -74.077277], [40.625781, -74.077166], [40.625789, -74.07705], [40.625781, -74.076934], [40.625755, -74.076823], [40.625713, -74.076721], [40.625658, -74.076631], [40.62559, -74.076557], [40.625512, -74.076502], [40.625428, -74.076469], [40.62534, -74.076457], [40.625252, -74.076469], [40.625168, -74.076502], [40.62509, -74.076557], [40.625022, -74.076631], [40.624967, -74.076721], [40.624925, -74.076823], [40.624899, -74.076934], [40.624891, -74.07705], [40.624899, -74.077166]]"
515a26ee-7ad5-49f1-863c-8ee5ddff3147,Review Warning Zone 7,40.62613,-74.07805,0.05,"[[40.625715, -74.078277], [40.625757, -74.078379], [40.625812, -74.078469], [40.62588, -74.078543], [40.625958, -74.078598], [40.626042, -74.078631], [40.62613, -74.078643], [40.626218, -74.078631], [40.626302, -74.078598], [40.62638, -74.078543], [40.626448, -74.078469], [40.626503, -74.078379], [40.626545, -74.078277], [40.626571, -74.078166], [40.626579, -74.07805], [40.626571, -74.077934], [40.626545, -74.077823], [40.626503, -74.077721], [40.626448, -74.077631], [40.62638, -74.077557], [40.626302, -74.077502], [40.626218, -74.077469], [40.62613, -74.077457], [40.626042, -74.077469], [40.625958, -74.077502], [40.62588, -74.077557], [40.625812, -74.077631], [40.625757, -74.077721], [40.625715, -74.077823], [40.625689, -74.077934], [40.625681, -74.07805], [40.625689, -74.078166]]"
8a797e1f-4417-4cc0-91a2-d326790c273b,Review Warning Zone 8,40.62725,-74.08235,0.05,"[[40.626835, -74.082577], [40.626877, -74.082679], [40.626932, -74.082769], [40.627, -74.082843], [40.627078, -74.082898], [40.627162, -74.082931], [40.62725, -74.082943], [40.627338, -74.082931], [40.627422, -74.082898], [40.6275, -74.082843], [40.627568, -74.082769], [40.627623, -74.082679], [40.627665, -74.082577], [40.627691, -74.082466], [40.627699, -74.08235], [40.627691, -74.082234], [40.627665, -74.082123], [40.627623, -74.082021], [40.627568, -74.081931], [40.6275, -74.081857], [40.627422, -74.081802], [40.627338, -74.081769], [40.62725, -74.081757], [40.627162, -74.081769], [40.627078, -74.081802], [40.627, -74.081857], [40.626932, -74.081931], [40.626877, -74.082021], [40.626835, -74.082123], [40.626809, -74.082234], [40.626801, -74.08235], [40.626809, -74.082466]]"
ec5f8ffe-ee18-421e-830a-17c2be9f9a12,Review Warning Zone 9,40.62787,-74.00814,0.05,"[[40.627497, -74.008469], [40.627552, -74.008559], [40.62762, -74.008633], [40.627698, -74.008688], [40.627782, -74.008721], [40.62787, -74.008733], [40.627958, -74.008721], [40.628042, -74.008688], [40.62812, -74.008633], [40.628188, -74.008559], [40.628243, -74.008469], [40.628285, -74.008367], [40.628311, -74.008256], [40.628319, -74.00814], [40.628311, -74.008024], [40.628285, -74.007913], [40.628243, -74.007811], [40.628188, -74.007721], [40.62812, -74.007647], [40.628042, -74.007592], [40.627958, -74.007559], [40.62787, -74.007547], [40.627782, -74.007559], [40.627698, -74.007592], [40.62762, -74.007647], [40.627552, -74.007721], [40.627497, -74.007811], [40.627455, -74.007913], [40.627429, -74.008024], [40.627421, -74.00814], [40.627429, -74.008256], [40.627455, -74.008367]]"
a7abb875-1895-419b-894a-470d059d3775,Review Warning Zone 10,40.62817,-74.07965,0.05,"[[40.627797, -74.079979], [40.627852, -74.080069], [40.62792, -74.080143], [40.627998, -74.080198], [40.628082, -74.080231], [40.62817, -74.080243], [40.628258, -74.080231], [40.628342, -74.080198], [40.62842, -74.080143], [40.628488, -74.080069], [40.628543, -74.079979], [40.628585, -74.079877], [40.628611, -74.079766], [40.628619, -74.07965], [40.628611, -74.079534], [40.628585, -74.079423], [40.628543, -74.079321], [40.628488, -74.079231], [40.62842, -74.079157], [40.628342, -74.079102], [40.628258, -74.079069], [40.62817, -74.079057], [40.628082, -74.079069], [40.627998, -74.079102], [40.62792, -74.079157], [40.627852, -74.079231], [40.627797, -74.079321], [40.627755, -74.079423], [40.627729, -74.079534], [40.627721, -74.07965], [40.627729, -74.079766], [40.627755, -74.079877]]"
07310285-805f-4bc0-9789-39d320060767,Review Warning Zone 11,40.62914,-74.15927,0.05,"[[40.628725, -74.159497], [40.628767, -74.159599], [40.628822, -74.159689], [40.62889, -74.159763], [40.628968, -74.159818], [40.629052, -74.159851], [40.62914, -74.159863], [40.629228, -74.159851], [40.629312, -74.159818], [40.62939, -74.159763], [40.629458, -74.159689], [40.629513, -74.159599], [40.629555, -74.159497], [40.629581, -74.159386], [40.629589, -74.15927], [40.629581, -74.159154], [40.629555, -74.159043], [40.629513, -74.158941], [40.629458, -74.158851], [40.62939, -74.158777], [40.629312, -74.158722], [40.629228, -74.158689], [40.62914, -74.158677], [40.629052, -74.158689], [40.628968, -74.158722], [40.62889, -74.158777], [40.628822, -74.158851], [40.628767, -74.158941], [40.628725, -74.159043], [40.628699, -74.159154], [40.628691, -74.15927], [40.628699, -74.159386]]"
07991c3f-decc-4cc0-8eb1-4f560535fc3f,Review Warning Zone 12,40.63006,-74.13708,0.05,"[[40.629645, -74.137307], [40.629687, -74.137409], [40.629742, -74.137499], [40.62981, -74.137573], [40.629888, -74.137628], [40.629972, -74.137661], [40.63006, -74.137673], [40.630148, -74.137661], [40.630232, -74.137628], [40.63031, -74.137573], [40.630378, -74.137499], [40.630433, -74.137409], [40.630475, -74.137307], [40.630501, -74.137196], [40.630509, -74.13708], [40.630501, -74.136964], [40.630475, -74.136853], [40.630433, -74.136751], [40.630378, -74.136661], [40.63031, -74.136587], [40.630232, -74.136532], [40.630148, -74.136499], [40.63006, -74.136487], [40.629972, -74.136499], [40.629888, -74.136532], [40.62981, -74.136587], [40.629742, -74.136661], [40.629687, -74.136751], [40.629645, -74.136853], [40.629619, -74.136964], [40.629611, -74.13708], [40.629619, -74.137196]]"
