od_id,src_lat,src_lng,dst_lat,dst_lng,src_anchor,dst_anchor,scenario,status,error,distance_km,duration_min,overhead_pct,calc_time_sec,danger_zones_crossed,danger_exposure_m,entered_danger_zone,warning_zones_crossed,warning_exposure_m,entered_warning_zone
1,40.753533,-73.982643,40.752592,-73.97888,Bryant Park,Grand Central,baseline,ok,,0.43,5.2,0.0,3.842,1,207.5,True,0,0.0,False
1,40.753533,-73.982643,40.752592,-73.97888,Bryant Park,Grand Central,nypd,ok,,0.43,5.2,0.0,1.093,1,207.5,True,0,0.0,False
1,40.753533,-73.982643,40.752592,-73.97888,Bryant Park,Grand Central,airbnb,ok,,0.43,5.2,0.0,1.967,1,207.5,True,0,0.0,False
2,40.774681,-73.981749,40.811025,-73.947768,Lincoln Center,Harlem (125th St),baseline,ok,,5.43,65.1,0.0,0.584,2,359.6,True,3,116.3,True
2,40.774681,-73.981749,40.811025,-73.947768,Lincoln Center,Harlem (125th St),nypd,ok,,5.44,65.3,0.18,1.64,1,93.4,True,5,184.7,True
2,40.774681,-73.981749,40.811025,-73.947768,Lincoln Center,Harlem (125th St),airbnb,ok,,5.85,70.2,7.73,3.845,3,2915.9,True,0,0.0,False
3,40.741895,-74.007579,40.730091,-73.998586,High Line (Whitney),Washington Square Park,baseline,ok,,1.76,21.1,0.0,0.548,2,613.8,True,1,14.8,True
3,40.741895,-74.007579,40.730091,-73.998586,High Line (Whitney),Washington Square Park,nypd,ok,,2.1,25.2,19.32,1.361,1,680.6,True,0,0.0,False
3,40.741895,-74.007579,40.730091,-73.998586,High Line (Whitney),Washington Square Park,airbnb,ok,,1.79,21.5,1.7,2.505,2,410.5,True,0,0.0,False
4,40.715725,-73.957991,40.70993,-74.001969,Williamsburg (Bedford),South Street Seaport,baseline,ok,,4.76,57.1,0.0,0.539,1,0.0,True,3,299.3,True
4,40.715725,-73.957991,40.70993,-74.001969,Williamsburg (Bedford),South Street Seaport,nypd,ok,,7.32,60.3,53.78,1.69,0,0.0,False,0,0.0,False
4,40.715725,-73.957991,40.70993,-74.001969,Williamsburg (Bedford),South Street Seaport,airbnb,ok,,7.32,60.3,53.78,3.759,0,0.0,False,0,0.0,False
5,40.741994,-74.003816,40.779506,-73.96485,Chelsea Market,The Met (Museum Mile),baseline,ok,,5.97,71.7,0.0,0.672,2,740.0,True,3,389.2,True
5,40.741994,-74.003816,40.779506,-73.96485,Chelsea Market,The Met (Museum Mile),nypd,ok,,5.98,71.7,0.17,1.756,0,0.0,False,3,470.7,True
